price,bedrooms,sqft_living,waterfront,condition,city
313000,3,1340,0,3,Shoreline
2384000,5,3650,0,5,Seattle
342000,3,1930,0,4,Kent
420000,3,2000,0,4,Bellevue
550000,4,1940,0,4,Redmond
490000,2,880,0,3,Seattle
335000,2,1350,0,3,Redmond
482000,4,2710,0,3,Maple Valley
452500,3,2430,0,4,North Bend
640000,4,1520,0,3,Seattle
463000,3,1710,0,3,Lake Forest Park
1400000,4,2920,0,5,Seattle
588500,3,2330,0,3,Sammamish
365000,3,1090,0,4,Seattle
1200000,5,2910,0,3,Seattle
242500,3,1200,0,4,Kent
419000,3,1570,0,4,Bellevue
367500,4,3110,0,3,Auburn
257950,3,1370,0,3,Des Moines
275000,3,1180,0,3,North Bend
750000,3,2240,0,5,Seattle
435000,4,1450,0,4,Bellevue
626000,3,1750,0,3,Seattle
612500,4,2730,0,3,Bothell
495000,4,1600,0,3,Seattle
285000,3,2090,0,4,Federal Way
615000,3,2360,0,4,Seattle
698000,4,2200,0,5,Kirkland
675000,5,2820,0,3,Issaquah
790000,3,2600,0,4,Seattle
382500,4,1560,0,4,Kirkland
499950,4,2860,0,3,Woodinville
650000,4,1820,0,3,Seattle
625000,4,2820,0,3,Shoreline
400000,4,3630,0,3,Auburn
604000,3,3240,0,3,Federal Way
440000,2,800,0,4,Seattle
287200,3,1850,0,4,Maple Valley
403000,3,1960,0,5,Normandy Park
750000,3,2390,0,4,Seattle
335000,3,1580,0,4,Fall City
260000,4,1480,0,4,Renton
308500,2,850,0,4,Shoreline
439950,3,1770,0,3,Seattle
235000,2,1210,0,2,Seattle
315000,3,1160,0,3,Woodinville
437500,3,1970,0,4,Issaquah
407500,3,1930,0,3,Renton
445700,3,1270,0,3,Seattle
838000,4,3310,0,3,Redmond
630000,4,2710,0,3,Issaquah
550000,3,2910,0,3,Sammamish
805000,3,2710,0,4,Seattle
284000,3,1800,0,3,Carnation
470000,5,2210,0,3,Bothell
430000,4,1920,0,4,Bellevue
491500,4,2190,0,3,Auburn
785000,5,3660,0,3,Snoqualmie
385000,3,1320,0,3,Seattle
295000,2,1630,0,3,Seattle
555000,4,3310,0,3,Snoqualmie
459990,3,2680,0,3,North Bend
625000,4,2730,0,3,Renton
300000,3,2540,0,3,Kent
625000,4,2920,0,3,Renton
553000,2,900,0,3,Seattle
379880,3,1650,0,4,Issaquah
310000,3,1010,0,4,Snoqualmie
775000,2,2680,0,3,Redmond
365000,3,2200,0,5,Renton
331950,4,2530,0,3,Auburn
783500,3,2850,0,3,Seattle
628000,4,2280,0,3,Seattle
560000,3,1900,0,3,Sammamish
900000,3,1330,0,3,Kirkland
531000,2,1270,0,3,Seattle
