price,bedrooms,sqft_living,waterfront,condition,city,country
313000,3,1340,0,3,Shoreline,USA
2384000,5,3650,0,5,Seattle,USA
342000,3,1930,0,4,Kent,USA
420000,3,2000,0,4,Bellevue,USA
550000,4,1940,0,4,Redmond,USA
490000,2,880,0,3,Seattle,USA
335000,2,1350,0,3,Redmond,USA
482000,4,2710,0,3,Maple Valley,USA
452500,3,2430,0,4,North Bend,USA
640000,4,1520,0,3,Seattle,USA
463000,3,1710,0,3,Lake Forest Park,USA
1400000,4,2920,0,5,Seattle,USA
588500,3,2330,0,3,Sammamish,USA
365000,3,1090,0,4,Seattle,USA
1200000,5,2910,0,3,Seattle,USA
242500,3,1200,0,4,Kent,USA
419000,3,1570,0,4,Bellevue,USA
367500,4,3110,0,3,Auburn,USA
257950,3,1370,0,3,Des Moines,USA
275000,3,1180,0,3,North Bend,USA
750000,3,2240,0,5,Seattle,USA
435000,4,1450,0,4,Bellevue,USA
626000,3,1750,0,3,Seattle,USA
612500,4,2730,0,3,Bothell,USA
495000,4,1600,0,3,Seattle,USA
285000,3,2090,0,4,Federal Way,USA
615000,3,2360,0,4,Seattle,USA
698000,4,2200,0,5,Kirkland,USA
675000,5,2820,0,3,Issaquah,USA
790000,3,2600,0,4,Seattle,USA
382500,4,1560,0,4,Kirkland,USA
499950,4,2860,0,3,Woodinville,USA
650000,4,1820,0,3,Seattle,USA
625000,4,2820,0,3,Shoreline,USA
400000,4,3630,0,3,Auburn,USA
604000,3,3240,0,3,Federal Way,USA
440000,2,800,0,4,Seattle,USA
287200,3,1850,0,4,Maple Valley,USA
403000,3,1960,0,5,Normandy Park,USA
750000,3,2390,0,4,Seattle,USA
335000,3,1580,0,4,Fall City,USA
260000,4,1480,0,4,Renton,USA
308500,2,850,0,4,Shoreline,USA
439950,3,1770,0,3,Seattle,USA
235000,2,1210,0,2,Seattle,USA
315000,3,1160,0,3,Woodinville,USA
437500,3,1970,0,4,Issaquah,USA
407500,3,1930,0,3,Renton,USA
445700,3,1270,0,3,Seattle,USA
838000,4,3310,0,3,Redmond,USA
630000,4,2710,0,3,Issaquah,USA
550000,3,2910,0,3,Sammamish,USA
805000,3,2710,0,4,Seattle,USA
284000,3,1800,0,3,Carnation,USA
470000,5,2210,0,3,Bothell,USA
430000,4,1920,0,4,Bellevue,USA
491500,4,2190,0,3,Auburn,USA
785000,5,3660,0,3,Snoqualmie,USA
385000,3,1320,0,3,Seattle,USA
295000,2,1630,0,3,Seattle,USA
555000,4,3310,0,3,Snoqualmie,USA
459990,3,2680,0,3,North Bend,USA
625000,4,2730,0,3,Renton,USA
300000,3,2540,0,3,Kent,USA
625000,4,2920,0,3,Renton,USA
553000,2,900,0,3,Seattle,USA
379880,3,1650,0,4,Issaquah,USA
310000,3,1010,0,4,Snoqualmie,USA
775000,2,2680,0,3,Redmond,USA
365000,3,2200,0,5,Renton,USA
331950,4,2530,0,3,Auburn,USA
783500,3,2850,0,3,Seattle,USA
628000,4,2280,0,3,Seattle,USA
560000,3,1900,0,3,Sammamish,USA
900000,3,1330,0,3,Kirkland,USA
531000,2,1270,0,3,Seattle,USA
831000,4,2170,0,4,Seattle,USA
780000,4,2730,0,3,Sammamish,USA
755000,4,2120,0,4,Bellevue,USA
705380,3,2490,0,3,Issaquah,USA
627000,4,1990,0,3,Issaquah,USA
865000,4,3690,0,3,Sammamish,USA
580000,2,2540,0,5,Seattle,USA
410000,3,1800,0,4,Issaquah,USA
485000,4,2340,0,4,Kirkland,USA
400000,2,2110,0,2,Shoreline,USA
549000,2,1140,0,5,Seattle,USA
620000,3,1480,0,3,Kirkland,USA
405000,2,1410,0,3,Seattle,USA
232000,2,1200,0,4,Des Moines,USA
800866,5,3180,0,4,Kirkland,USA
650000,3,2160,0,4,Seattle,USA
823000,6,2920,0,4,Seattle,USA
770000,3,2350,0,4,Seattle,USA
524000,3,1560,0,4,Seattle,USA
541125,5,2740,0,4,Bellevue,USA
670000,3,1680,0,3,Seattle,USA
384900,5,3090,0,3,Federal Way,USA
406100,3,1410,0,3,Seattle,USA
1395000,5,4010,0,5,Seattle,USA
736500,4,3180,0,3,Renton,USA
570000,3,2010,0,3,Redmond,USA
787000,3,1330,0,3,Bellevue,USA
328000,4,2370,0,3,Auburn,USA
435000,5,1840,0,4,Seattle,USA
499000,4,2910,0,3,Snoqualmie,USA
501000,4,2070,0,3,Bellevue,USA
1090000,4,4340,0,3,Redmond,USA
400000,2,840,0,3,Seattle,USA
220000,4,1240,0,3,Federal Way,USA
657100,4,1390,0,3,Seattle,USA
309950,4,2310,0,3,Maple Valley,USA
300000,3,1050,0,3,Duvall,USA
525888,5,2550,0,5,Issaquah,USA
740000,4,2010,0,3,Seattle,USA
340000,5,1120,0,4,Kirkland,USA
398750,3,2230,0,3,Seattle,USA
206000,2,810,0,5,Burien,USA
1030000,5,3190,0,3,Bellevue,USA
600000,3,1670,0,4,Sammamish,USA
379950,4,1970,0,5,Shoreline,USA
287000,3,1450,0,4,Seattle,USA
2280000,7,13540,0,3,Redmond,USA
309950,3,1880,0,3,Renton,USA
