price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_basement,yr_built,city
313000,3,1.5,1340,1.5,0,0,3,0,1955,Shoreline
2384000,5,2.5,3650,2,0,4,5,280,1921,Seattle
342000,3,2,1930,1,0,0,4,0,1966,Kent
420000,3,2.25,2000,1,0,0,4,1000,1963,Bellevue
550000,4,2.5,1940,1,0,0,4,800,1976,Redmond
490000,2,1,880,1,0,0,3,0,1938,Seattle
335000,2,2,1350,1,0,0,3,0,1976,Redmond
482000,4,2.5,2710,2,0,0,3,0,1989,Maple Valley
452500,3,2.5,2430,1,0,0,4,860,1985,North Bend
640000,4,2,1520,1.5,0,0,3,0,1945,Seattle
463000,3,1.75,1710,1,0,0,3,0,1948,Lake Forest Park
1400000,4,2.5,2920,1.5,0,0,5,1010,1909,Seattle
588500,3,1.75,2330,1,0,0,3,360,1980,Sammamish
365000,3,1,1090,1,0,0,4,0,1955,Seattle
1200000,5,2.75,2910,1.5,0,0,3,0,1939,Seattle
242500,3,1.5,1200,1,0,0,4,0,1965,Kent
419000,3,1.5,1570,1,0,0,4,0,1956,Bellevue
367500,4,3,3110,2,0,0,3,0,1997,Auburn
257950,3,1.75,1370,1,0,0,3,0,1987,Des Moines
275000,3,1.5,1180,1,0,0,3,0,1983,North Bend
750000,3,1.75,2240,2,0,0,5,690,1923,Seattle
435000,4,1,1450,1,0,0,4,0,1954,Bellevue
626000,3,2.25,1750,2.5,0,0,3,280,2005,Seattle
612500,4,2.5,2730,2,0,0,3,0,1991,Bothell
495000,4,1.75,1600,1,0,0,3,470,1959,Seattle
285000,3,2.5,2090,1,0,0,4,730,1987,Federal Way
615000,3,1.75,2360,1,0,0,4,1000,1948,Seattle
698000,4,2.25,2200,1.5,0,0,5,900,1920,Kirkland
675000,5,2.5,2820,2,0,0,3,0,1979,Issaquah
790000,3,2.5,2600,1,0,0,4,900,1951,Seattle
382500,4,1.75,1560,1,0,0,4,0,1967,Kirkland
499950,4,2.5,2860,2,0,0,3,670,2004,Woodinville
650000,4,2,1820,1.5,0,1,3,180,1945,Seattle
625000,4,2.5,2820,2,0,0,3,0,2014,Shoreline
400000,4,2.5,3630,1.5,0,0,3,1330,1979,Auburn
604000,3,2.5,3240,2,0,2,3,0,1995,Federal Way
440000,2,1,800,1,0,0,4,0,1944,Seattle
287200,3,3,1850,1,0,0,4,760,1992,Maple Valley
403000,3,2,1960,1,0,2,5,310,1957,Normandy Park
750000,3,2.5,2390,1,0,2,4,950,1955,Seattle
335000,3,2.25,1580,1,0,0,4,0,1978,Fall City
260000,4,2,1480,1,0,0,4,0,1974,Renton
308500,2,1,850,1,0,0,4,0,1950,Shoreline
439950,3,2.5,1770,2,0,0,3,0,1990,Seattle
235000,2,1,1210,1,0,0,2,0,1949,Seattle
315000,3,1,1160,1,0,0,3,0,1968,Woodinville
437500,3,2.25,1970,2,0,0,4,0,1977,Issaquah
407500,3,2.5,1930,2,0,0,3,0,1996,Renton
445700,3,2.5,1270,3,0,0,3,0,2001,Seattle
838000,4,2.5,3310,2,0,0,3,0,2001,Redmond
630000,4,2.75,2710,2,0,0,3,0,2000,Issaquah
550000,3,1.75,2910,1.5,0,0,3,0,1979,Sammamish
805000,3,2,2710,1.5,0,0,4,830,1929,Seattle
284000,3,1.75,1800,1,0,0,3,0,1968,Carnation
470000,5,2.5,2210,1,0,0,3,750,1976,Bothell
430000,4,1.5,1920,1,0,0,4,850,1954,Bellevue
491500,4,1.75,2190,1,0,2,3,0,1968,Auburn
785000,5,3.25,3660,2,0,2,3,0,2006,Snoqualmie
385000,3,3.25,1320,2,0,0,3,280,2008,Seattle
295000,2,2.5,1630,2,0,0,3,350,2009,Seattle
555000,4,2.5,3310,2,0,0,3,0,2012,Snoqualmie
459990,3,2.5,2680,2,0,0,3,0,2013,North Bend
625000,4,3.25,2730,1,0,0,3,1170,2007,Renton
300000,3,2.5,2540,2,0,0,3,0,2006,Kent
625000,4,2.75,2920,2,0,0,3,0,2012,Renton
553000,2,1,900,1,0,0,3,0,1944,Seattle
379880,3,2.5,1650,1,0,0,4,520,1986,Issaquah
310000,3,1,1010,1,0,0,4,0,1973,Snoqualmie
775000,2,2.5,2680,1,0,0,3,0,2004,Redmond
365000,3,2.5,2200,1,0,0,5,630,1988,Renton
331950,4,2.5,2530,2,0,2,3,520,1990,Auburn
783500,3,2.5,2850,2,0,0,3,860,1980,Seattle
628000,4,2,2280,1,0,0,3,1140,1900,Seattle
560000,3,2.5,1900,2,0,0,3,0,1987,Sammamish
900000,3,1,1330,1,0,0,3,0,1928,Kirkland
531000,2,3,1270,2,0,0,3,160,2000,Seattle
831000,4,3,2170,2,0,0,4,560,1982,Seattle
780000,4,2.5,2730,2,0,2,3,0,1996,Sammamish
755000,4,2.5,2120,1,0,0,4,500,1960,Bellevue
705380,3,2.5,2490,2,0,0,3,0,2003,Issaquah
627000,4,2.25,1990,1,0,0,3,780,1973,Issaquah
865000,4,3,3690,2,0,0,3,0,1998,Sammamish
580000,2,1,2540,1,0,0,5,1220,1942,Seattle
410000,3,2.25,1800,1,0,0,4,440,1978,Issaquah
485000,4,3,2340,1,0,0,4,1000,1979,Kirkland
400000,2,1.75,2110,1,0,0,2,0,1948,Shoreline
549000,2,1,1140,1,0,0,5,0,1908,Seattle
620000,3,1.75,1480,2.5,0,0,3,0,2005,Kirkland
405000,2,3,1410,2,0,0,3,270,2006,Seattle
232000,2,1,1200,1,0,0,4,0,1958,Des Moines
800866,5,2.5,3180,2,0,0,4,0,1990,Kirkland
650000,3,1.5,2160,1,0,2,4,760,1949,Seattle
823000,6,1.75,2920,2.5,0,0,4,140,1908,Seattle
770000,3,2,2350,1.5,0,0,4,540,1939,Seattle
